Fno,CASno,Flag,Class,RTwax,RIwax,RIwaxl,RI5l,BP,mw,odor,OA,OW,WSrange,WLrange,OV,FW,FV,RRF
323,106274,QEROT,Esters,19.441,1267,,,,,,,,,,,,,2.080905475
324,97621,QESROT,Esters,9.846,967,,,,,,,,,,,,,4.514629822
325,136954251,ER,ImportedFEMAGRASlist,36.791,2002,1947,,,,,,,,,,,,1.650396416
326,106309,QESROT,Esters,21.425,1335,,,,,,,,,,,,,1.7562702
327,121324,ESRT,Aldehydes,43.459,2268,,,,,,,,,,,,,1.249702027
328,71410,QESROT,Alcohols,18.904,1250,1249,765,,,almond_balsamic_fruit_green_medicine_yeast,0.153,4,0.12,4,3,5,50,4.27854888
329,98862,QESROT,ketones,29.87,1659,,,,,,,,,,,,,0.76565566
330,57378684,PESR,ketones,32.647,1779,,,,,,,,,,,,,1.084853292
331,541913,EST,ImportedFEMAGRASlist,40.784,2161,,,,,,0.029,0.103,0.0098,0.103,,,,1.049962742
332,104201,QESR,Phenols,40.643,2155,,,,,,,,,,,,,0.781902402
333,14436329,QESRT,Acids,40.874,2165,,,,,,,,,,,,,3.404317917
334,106296,QESRO,Esters,35.026,1897,,,,,,,,,,,,,1.291168966
335,589593,QESRT,Esters,17.117,1192,,,,,,,,,,,,,1.576873337
336,5405414,QESROT,Esters,26.446,1520,,,,,,,,,,,,,2.56115692
337,141140,QESR,Esters,31.483,1728,,,,,,,,,,,,,1.05786602
338,77930,QESRT,Esters,42.537,2233,,,,,,,,,,,,,2.559435462
339,2050091,QESRT,Esters,22.248,1364,,,,,,,,,,,,,1.692963023
340,24295032,QESROT,Sulfurcompounds,29.726,1653,,,,,,,,,,,,,0.163588601
341,1072839,QESROT,Bases,36.351,1977,,,,,,,,,,,,,1.502015431
342,14667551,QESROT,Bases,23.561,1411,,,,,,,,,,,,,1.704656994
343,51115674,E,ImportedFEMAGRASlist,34.245,1857,,,,,,,,,,,,,1.504854284
344,39711790,E,ImportedFEMAGRASlist,40.322,2141,,,,,,,,,,,,,1.042461927
345,64175,QESROT,Alcohols,9.061,942,933,551,,,alcohol_floral_ripeapple_sweet,0.62,4.5,3.5,3000,30,2900,5000,15.55707838
346,123864,QESROT,Esters,13.217,1072,,,,,,,,,,,,,3.199172063
347,54115,QESRT,Bases,34.917,1891,,,,,,,,,,,,,1.012495323
348,13215888,QES,ketones,,,,,,,,,,,,,,,3.001901413
349,350038,PESRT,Bases,30.791,2114,,,,,,,,,,,,,
350,536787,QESR,Bases,22.949,1389,,,,,,,,,,,,,0.829567665
351,67470,QESROT,Furans,42.967,2249,,,,,,,,,,,,,2.499953623
352,98000,QESROT,Furans,29.772,1655,,,,,,,,,,,,,2.700991623
353,116096,QESROT,ketones,20.345,,,,,,,,,,,,,,10.85432887
354,51115709,E,ImportedFEMAGRASlist,35.201,1923,,,,,,,,,,,,,1.294684882
